File_num,Category,Filter_num,Filter_punches,IOP,AMZ_date,T_O_D,Date_num,Internal_load,External_load,,,,,,,,,,,,,,,,,,,,,
GCxGC_20181201_0136,sample,393,4,1,3/13/2014 18:00,Night,41711.75,12,0,,,,,,,,,,,,,,,,,,,,,
GCxGC_20181202_0046,sample,394,4,1,3/14/2014 6:00,Day,41712.25,12,0,,,,,,,,,,,,,,,,,,,,,
GCxGC_20181202_0239,sample,395,4,1,3/14/2014 18:00,Night,41712.75,12,0,,,,,,,,,,,,,,,,,,,,,
GCxGC_20181202_0430,sample,396,4,1,3/15/2014 6:00,Day,41713.25,12,0,,,,,,,,,,,,,,,,,,,,,
GCxGC_20181202_0621,sample,397,4,1,3/15/2014 18:00,Night,41713.75,12,0,,,,,,,,,,,,,,,,,,,,,
GCxGC_20181202_0811,sample,398,4,1,3/16/2014 6:00,Day,41714.25,12,0,,,,,,,,,,,,,,,,,,,,,
GCxGC_20181202_1221,sample,399,4,1,3/16/2014 18:00,Night,41714.75,12,0,,,,,,,,,,,,,,,,,,,,,
GCxGC_20181202_1412,sample,400,4,1,3/17/2014 6:00,Day,41715.25,12,0,,,,,,,,,,,,,,,,,,,,,
GCxGC_20181202_1753,sample,402,4,1,3/17/2014 18:00,Night,41715.75,12,0,,,,,,,,,,,,,,,,,,,,,
GCxGC_20181202_1602,sample,401,4,1,3/18/2014 6:00,Day,41716.25,12,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run Number,Date Performed,Date Planned,Category,Filter,Number of punches,New punch num,ng/alkane delivered,Mix,Vol Delivered,ng/alkane delivered,Mix,Vol Delivered,ng/acid delivered,Mix,Vol Delivered,Date campaign,Start time,End time,GCI file,#filters,notes,,,,,,,,,
