NIST_Name,My_Name,Plot_color,RI,SSA_name,Quant_Proxy,Proxy_Reason,MDOM_name,Formula,NIST_match_factor_SSA,NIST_reverse_match_factor_SSA,NIST_match_factor_MDOM,NIST_reverse_match_factor_MDOM,vp_mmhg_25C,water_sol_mg_L ,Water_sol_source,Log_Kow,in_SSA,in_mdom,btz_colors,mdom_quant_factor,ssa_quant_factor,Label_name,Label_name.sp
2(3H)-Benzothiazolone,2(3H)-Benzothiazolone,cornflowerblue,,20200803_1535_blob_1431_,2-(Methylmercapto)benzothiazole,Closest GCxGC,20200929_1128_blob_654,C7H5NOS,702,801,854,870,5.41E-06,2354,,2.35,1,1,red4,1,1,Both,
Benzothiazole,Benzothiazole,deeppink2,,20200803_1535_blob_958_,Benzothiazole,Exact Match,20200929_1319_blob_563,C7H5NS,920,921,900,900,0.0742,1684,,2.17,1,1,red1,1,1,Both,Benzothiazole
3-Methyl-3H-benzothiazol-2-one,3-Methyl-3H-benzothiazol-2-one,red1,,,2-(Methylmercapto)benzothiazole,Closest GCxGC,20200929_1128_blob_255,C8H7NOS,,,920,923,0.000138,1319,"ChemIDplus, estimated",1.98,,1,orangered1,1,1,DOM Only,
"2-Benzothiazolamine, N-ethyl-","2-Benzothiazolamine, N-ethyl-",lightseagreen,,20200803_1535_blob_961_,2-(Methylmercapto)benzothiazole,Closest GCxGC,,C9H10N2S,702,751,,,0.000217,142.2,,3.04,1,,orange2,1,1,SSA Only,
2-(Methylmercapto)benzothiazole,2-(Methylthio)benzothiazole,yellow1,,20200803_1535_blob_764_,2-(Methylmercapto)benzothiazole,Exact Match,20200929_1128_blob_5,C8H7NS2,907,917,939,939,0.000164,66.61,,3.41,1,1,gold1,1,1,Both,2-(Methylmercapto)benzothiazole
"Benzothiazole, 2-butyl-",2-Butyl Benzothiazole,orange1,1554.80226,20200803_1535_blob_43_,2-(Methylmercapto)benzothiazole,Closest GCxGC,20200929_1510_blob_694,C11H13NS,866,866,814,825,0.000232,12.8,,4.19,1,1,yellow,1,1,Both,
"Benzothiazole, 2-butyl-",Alk-Benzothiazole (3),maroon3,1725.316456,20200803_1535_blob_693_,2-(Methylmercapto)benzothiazole,Closest GCxGC,,C11H13NS,844,872,,,0.000232,12.8,,4.19,1,,greenyellow,1,1,SSA Only,
"Benzothiazole, 2-butyl-",Alk-Benzothiazole (4),deepskyblue2,1833.333333,20200803_1535_blob_751_,2-(Methylmercapto)benzothiazole,Closest GCxGC,,C11H13NS,738,789,,,0.000232,12.8,,4.19,1,,green1,1,1,SSA Only,
"Benzothiazole, 2-butyl-",Alk-Benzothiazole (1),palegreen2,1616.455696,20200803_1535_blob_876_,2-(Methylmercapto)benzothiazole,Closest GCxGC,,C11H13NS,886,886,,,0.000232,12.8,,4.19,1,,green4,1,1,SSA Only,
"Benzothiazole, 2-butyl-",Alk-Benzothiazole (5),red4,1944,20200803_1535_blob_1016_,2-(Methylmercapto)benzothiazole,Closest GCxGC,,C11H13NS,696,793,,,0.000232,12.8,,4.19,1,,turquoise,1,1,SSA Only,
"Benzothiazole, 2-butyl-",Alk-Benzothiazole (2),mediumslateblue,1686,20200803_1535_blob_1217_,2-(Methylmercapto)benzothiazole,Closest GCxGC,,C11H13NS,796,817,,,0.000232,12.8,,4.19,1,,turquoise4,1,1,SSA Only,
"Benzothiazole, 2-phenyl-","Benzothiazole, 2-phenyl- (1)",greenyellow,,20200803_1535_blob_170_,"Benzothiazole, 2-phenyl-",Exact Match,,C13H9NS,932,941,,,5.38E-06,8.804,,4.26,1,,deepskyblue3,1,1,Both,
"Benzothiazole, 2-phenyl-","Benzothiazole, phenyl",lawngreen,,,"Benzothiazole, 2-phenyl-",Exact Match,20200929_1128_blob_747,C13H9NS,,,847,866,5.38E-06,8.804,,4.26,,1,dodgerblue3,1,1,Both,
2-o-Tolylbenzothiazole,2-o-Tolylbenzothiazole,violetred4,,20200803_0949_blob_766_,"Benzothiazole, 2-phenyl-",Closest GCxGC,,C14H11NS,758,804,,,1.93E-06,4.81,,4.48,1,,blue1,1,1,SSA Only,
"1,3-Di(2-benzothiazolyl)-1,3-bis(mercaptomethyl)-urea",R-Mercaptobenzothiazole,darkslateblue,,20200803_1535_blob_690_,"Benzothiazole, 2-phenyl-",Closest GCxGC,,C17H14N4OS4,704,762,,,1.87E-14,0.05096,,4.16,1,,blueviolet,1,1,SSA Only,
3-Ethylbenzothiazolin-2-thione,3-Ethylbenzothiazolin-2-thione,turquoise,,20200803_1535_blob_677_,"Benzothiazole, 2-phenyl-",Closest GCxGC,,C9H9NS2,751,836,,,,,,,1,,deeppink3,1,1,SSA Only,
