"","Compound.Name","IS_avgvol","IS_medvol"
"1","4-methoxy-benzaldehyde",277.073906254663,255.247270301512
"2","chrysene-d",3790.32896210317,3025.08225666036
"3","d-anthraquinone",3641.33338005533,3083.97005471236
"4","d-C10 acid, TMS",241.672997146406,224.903845981464
"5","d-C15 alcohol, TMS",31066.1645128427,31224.8659328963
"6","d-C22 acid, TMS",7204.92463081005,5850.71257199152
"7","d-cholestane",6247.12457324579,5412.80804466996
"8","d-cholesterol",1637.68262946969,1479.24188318214
"9","d-pyrene",7675.43936065929,7099.7124205922
"10","dC16",604.80141418346,517.636137518179
"11","dC18",9314.98701762961,8379.2263198788
"12","dC20",25978.7544592529,25062.8836182938
"13","dC22",22284.5108230676,19673.1416375284
"14","dC24",39608.2599855365,36356.7622099604
"15","dC26",22542.4298559369,17232.6155682508
"16","dC28",10608.7897597628,9549.3572249821
"17","dC30",5906.44436957896,5735.57214934443
"18","dC32",4348.45658079763,4106.76790692372
"19","dC34",3964.47003264653,3787.45255268697
"20","dC36",3425.23255975565,3183.01480855777
"21","dibenzanthracene-d",336.964778162372,317.970861447237
"22","pentaerythritol-C13",618.572621973968,524.458646451446
"23","perylene-d",355.953746130112,268.803202672049
