"","Compound.Name","LRI_avg_all","RI2_all"
"1","4-methoxy-benzaldehyde",1270.88430076209,0.997953834486014
"2","chrysene-d",2520.95047970048,0.804019590646497
"3","d-anthraquinone",2012.26089432196,0.929423760039064
"4","d-C10 acid, TMS",1467.23189986076,0.294701237746312
"5","d-C15 alcohol, TMS",1869.29118113552,0.144755663741094
"6","d-C6diacid",1526.34501797637,0.537924087178213
"7","d-cholestane",2912.47788931091,0.398125471768743
"8","d-pyrene",2166.2825406146,0.75233978188426
"9","dC16",1600,0.112387559453017
"10","dC18",1800,0.121478799450161
"11","dC20",2000,0.138283134135205
"12","dC22",2200,0.157670381274942
"13","dC24",2400,0.166728029852091
"14","dC26",2600,0.175756106950161
"15","dC28",2800.1953125,0.187400139877562
"16","dC30",3000,0.202924148587082
"17","dC32",3200,0.21972227393055
"18","dC34",3400,0.244291705586739
"19","dC36",3600,0.320548268498093
"20","dibenzanthracene-d",3270.3256302521,0.973382392435206
"21","pentaerythritol-C13",1526.68249791217,0.11888912049777
"22","perylene-d",2958.22529503527,0.926831851499184
